time, total-urns, total-namespaces
2025-01-23 05:10, 61826836, 466
2025-01-24 05:10, 61853736, 466
2025-01-25 05:09, 61863866, 466
2025-01-26 05:09, 61871713, 466
2025-01-27 05:10, 61878930, 466
2025-01-28 05:11, 61888069, 466
2025-01-29 05:10, 61895156, 466
2025-01-30 05:11, 61911149, 466
2025-01-31 05:10, 61936957, 466
2025-02-01 05:10, 61965686, 466
2025-02-02 05:10, 61988269, 466
2025-02-03 05:11, 61998694, 466
2025-02-04 05:11, 62017143, 466
2025-02-05 05:11, 62053380, 466
2025-02-06 05:11, 62087990, 466
2025-02-07 05:10, 62099431, 466
2025-02-08 05:10, 62108411, 466
2025-02-09 05:10, 62117294, 466
2025-02-10 05:12, 62121263, 466
2025-02-11 05:10, 62128354, 466
2025-02-12 05:11, 62134746, 466
2025-02-13 05:11, 62146519, 466
2025-02-14 05:10, 62162203, 466
2025-02-15 05:10, 62173373, 466
2025-02-16 05:10, 62182681, 466
2025-02-17 05:11, 62190917, 466
2025-02-18 05:11, 62201702, 466
2025-02-19 05:10, 62213180, 466
2025-02-20 05:11, 62227722, 466
2025-02-21 05:11, 62240748, 466
2025-02-22 05:10, 62260487, 466
2025-02-23 05:10, 62268229, 466
2025-02-24 05:11, 62277364, 466
2025-02-25 05:11, 62287642, 466
2025-02-26 05:11, 62304043, 466
2025-02-27 05:11, 62318307, 466
2025-02-28 05:11, 62334611, 466
2025-03-01 05:10, 62344418, 466
2025-03-02 05:11, 62356927, 466
2025-03-03 05:12, 62365465, 466
2025-03-04 05:11, 62371756, 466
2025-03-05 05:11, 62385273, 466
2025-03-06 05:11, 62401991, 466
2025-03-07 05:11, 62414559, 466
2025-03-08 05:09, 62449945, 466
2025-03-09 05:08, 62460650, 466
2025-03-10 05:10, 62474870, 466
2025-03-11 05:11, 62491846, 466
2025-03-12 05:11, 62505708, 466
2025-03-13 05:11, 62522971, 467
2025-03-14 05:11, 62537644, 467
2025-03-15 05:10, 62553028, 467
2025-03-16 05:10, 62565933, 467
2025-03-17 05:12, 62578503, 467
2025-03-18 05:11, 62587658, 467
2025-03-19 05:11, 62598240, 467
2025-03-20 05:11, 62612952, 467
2025-03-21 05:11, 62630926, 467
2025-03-22 05:10, 62645354, 467
2025-03-23 05:10, 62658316, 467
2025-03-24 05:12, 62668148, 467
2025-03-25 05:12, 62677677, 467
2025-03-26 05:11, 62690065, 467
2025-03-27 05:11, 62699229, 467
2025-03-28 05:12, 62707428, 467
2025-03-29 05:10, 62718987, 467
2025-03-30 05:11, 62732334, 467
2025-03-31 05:12, 62741818, 467
2025-04-01 05:12, 62754867, 467
2025-04-02 05:13, 62767883, 467
2025-04-03 05:12, 62781234, 467
2025-04-04 05:11, 62789750, 467
2025-04-05 05:12, 62799765, 467
2025-04-06 05:11, 62809057, 467
2025-04-07 05:12, 62818840, 467
2025-04-08 05:11, 62823134, 467
2025-04-09 05:12, 62830465, 467
2025-04-10 05:12, 62832854, 467
2025-04-11 05:12, 62838457, 467
2025-04-12 05:11, 62848985, 467
2025-04-13 05:18, 62853537, 467
2025-04-14 05:12, 62859136, 467
2025-04-15 05:12, 62868197, 467
2025-04-18 05:12, 62895056, 467
2025-04-19 05:11, 62903999, 467
2025-04-20 05:11, 62910663, 467
2025-04-21 05:12, 62916717, 467
